title,description,link,published
Alfredo Bryce Echenique entrega el manuscrito de ‘Un mundo para Julius’ al Instituto Cervantes,"En entrevista con Ampliación de Noticias de RPP, el director del Instituto Cervantes recordó su amistad con el autor peruano y celebró la preservación de la obra en la histórica bóveda cultural.",https://rpp.pe/cultura/mas-cultura/alfredo-bryce-echenique-entrega-el-manuscrito-de-un-mundo-para-julius-al-instituto-cervantes-noticia-1663799,"Fri, 14 Nov 2025 11:45:21 -0500"
"Golpe al crimen: caen ‘Los Furiosos del Sur’, banda criminal dedicada a la fabricación y tráfico de billetes falsos","La organización delictiva fue desmantelada a través de un megaoperativo llevado a cabo la noche del 13 de noviembre en 11 inmuebles de Chaclacayo, Villa El Salvador, San Juan de Lurigancho y Parcona-Ica.",https://rpp.pe/lima/policiales/los-furiosos-del-sur-cae-banda-criminal-dedicada-a-la-fabricacion-y-trafico-de-billetes-falsos-noticia-1663806,"Fri, 14 Nov 2025 11:45:13 -0500"
Trabajador murió dentro de obra de colegio en Chiclayo,El dirigente sindical Wilmer Zegarra lamentó el hecho y espera que Sunafil pueda emitir un informe acerca de las condiciones en las que laboraba el obrero fallecido.,https://rpp.pe/peru/lambayeque/lambayeque-trabajador-murio-dentro-de-obra-de-colegio-en-chiclayo-noticia-1663802,"Fri, 14 Nov 2025 11:30:31 -0500"
"Transferencia de conocimiento: Perú ensamblará ""vehículos especiales"" con el apoyo de empresas surcoreanas [FOTOS]","El presidente José Jerí visitó la nueva sede de Fábrica de Armas y Municiones del Ejército (FAME) en Lurigancho-Chosica, donde se ensamblarán unidades para uso militar, policial y sanitario, teniendo como socio principal a STX Corporation de Corea del Sur.",https://rpp.pe/politica/estado/peru-ensamblara-vehiculos-tacticos-y-sanitarios-en-planta-fame-de-lima-con-apoyo-tecnologico-de-corea-del-sur-noticia-1663531,"Wed, 12 Nov 2025 16:26:33 -0500"
App de apuestas deportivas: Ranking 2025 de las mejores opciones en Perú,Conoce las mejores apps de apuestas deportivas online en Perú. Descubre cuál ofrece la mejor experiencia para jugar y apostar teniendo en cuenta los factores más importantes que debe tener una plataforma de apuestas en línea.,https://rpp.pe/apuestas-deportivas/publirreportaje/analizamos-las-mejores-apps-de-apuestas-deportivas-en-peru-noticia-1505195,"Thu, 27 Mar 2025 13:00:09 -0500"
Renzo Reggiardo informó que hoy regirá la intangibilidad en la plaza San Martín ante convocatoria de movilizaciones,"De acuerdo con el alcalde de Lima, esta medida se aplica respuesta a la marcha convocada por un sector de la denominada 'Generación Z' y algunos gremios sociales.",https://rpp.pe/politica/actualidad/renzo-reggiardo-informo-que-hoy-regira-la-intangibilidad-en-la-plaza-san-martin-ante-convocatoria-de-movilizaciones-noticia-1663801,"Fri, 14 Nov 2025 11:11:51 -0500"
"Shakira en Lima 2025: setlist, accesos, horario del show y lo que se sabe de sus conciertos en el Estadio Nacional","La cantante colombiana regresa a Lima con tres conciertos en el Estadio Nacional, donde presentará su gira Las Mujeres Ya No Lloran World Tour. Conoce todas las recomendaciones para disfrutar del espectáculo.",https://rpp.pe/musica/conciertos/shakira-en-lima-2025-horarios-accesos-setlist-y-todo-lo-que-se-sabe-sobre-sus-conciertos-de-noviembre-en-estadio-nacional-noticia-1663675,"Fri, 14 Nov 2025 11:15:32 -0500"
Código Promocional Betfair: otras opciones para apostar en Perú,"El código promocional Betfair ya no funciona en Perú, ya que la empresa ya no trabaja en el país. Pero aún hay varias opciones para apostar, como Betano y su código promocional.",https://rpp.pe/apuestas-deportivas/publirreportaje/codigo-promocional-betfair-que-beneficios-pueden-obtener-los-nuevos-registrados-noticia-1517996,"Sat, 18 Nov 2023 09:02:28 -0500"
Betfair app: otras aplicaciones disponibles en Perú,"La Betfair App no está disponible en Perú, puesto a que el operador ya no trabaja en el país. Te mostramos otras opciones de aplicaciones de apuestas deportivas.",https://rpp.pe/apuestas-deportivas/publirreportaje/betfair-app-como-descargarla-y-aprovechar-todas-sus-funciones-noticia-1518123,"Mon, 20 Nov 2023 15:46:56 -0500"
Shakira en Lima: conoce el setlist de canciones que entonará en sus conciertos en el Estadio Nacional,"Como parte de su gira Las Mujeres Ya No Lloran Tour, Shakira vuelve a nuestro país después de reprogramar sus shows por problemas de salud.",https://rpp.pe/musica/conciertos/shakira-en-lima-2025-setlist-de-canciones-que-cantara-en-sus-conciertos-de-noviembre-en-estadio-nacional-noticia-1663529,"Fri, 14 Nov 2025 11:10:41 -0500"
Historial de reportes de sismos magnitud y epicentro al cierre del día hoy.,¿Cuál fue el último Temblor en Chile hoy 14 de noviembre y registrado por el servicio Sismológico Nacional de Chile (CSN)? Consulta los últimos sismos: magnitud y epicentro del movimiento sísmico.,https://rpp.pe/mundo/chile/temblor-en-chile-hoy-12-de-noviembre-epicentro-del-sismo-segun-csn-live-3041,"Wed, 12 Nov 2025 08:09:45 -0500"
Temblor en Chile hoy 14 de noviembre: Epicentro del sismo según CSN,¿Cuál fue el último Temblor en Chile hoy 14 de noviembre y registrado por el servicio Sismológico Nacional de Chile (CSN)? Consulta los últimos sismos: magnitud y epicentro del movimiento sísmico.,https://rpp.pe/mundo/chile/temblor-en-chile-hoy-14-de-noviembre-epicentro-del-sismo-segun-csn-live-3042,"Fri, 14 Nov 2025 11:09:45 -0500"
